EventID,Legacy,EventName
612,Yes,System audit policy was changed.
801,Yes,Role separation enabled:
550,Yes,Possible denial-of-service (DoS) attack
517,Yes,The audit log was cleared
610,Yes,A new trust was created to a domain.
617,Yes,Kerberos policy was changed.
618,Yes,Encrypted data recovery policy was changed.
620,Yes,Trusted domain information was modified.
628,Yes,An attempt was made to reset an account's password.
631,Yes,A security-enabled global group was created.
639,Yes,A security-enabled local group was changed.
641,Yes,A security-enabled global group was changed.
643,Yes,Domain Policy was changed.
658,Yes,A security-enabled universal group was created.
659,Yes,A security-enabled universal group was changed.
667,Yes,A security-disabled group was deleted
668,Yes,A group's type was changed.
684,Yes,The ACL was set on accounts which are members of administrators groups.
772,Yes,The certificate manager denied a pending certificate request.
774,Yes,Certificate Services revoked a certificate.
786,Yes,The security permissions for Certificate Services changed.
789,Yes,The audit filter for Certificate Services changed.
794,Yes,The certificate manager settings for Certificate Services changed.
796,Yes,A property of Certificate Services changed.
800,Yes,One or more rows have been deleted from the certificate database.
807,Yes,Per User Audit Policy was changed.
640,Yes,General account database changed
619,Yes,Quality of Service Policy changed
512,Yes,Windows is starting up.
513,Yes,Windows is shutting down.
514,Yes,An authentication package has been loaded by the Local Security Authority.
515,Yes,A trusted logon process has been registered with the Local Security Authority.
516,Yes,Internal resources allocated for the queuing of audit messages have been exhausted; leading to the loss of some audits.
518,Yes,A notification package has been loaded by the Security Account Manager.
519,Yes,Invalid use of LPC port.
520,Yes,The system time was changed.
528540,Yes,An account was successfully logged on.
538,Yes,An account was logged off.
551,Yes,User initiated logoff.
552,Yes,A logon was attempted using explicit credentials.
560,Yes,A handle to an object was requested.
567,Yes,A registry value was modified.
562,Yes,The handle to an object was closed.
564,Yes,An object was deleted.
565,Yes,A handle to an object was requested.
566,Yes,An operation was performed on an object.
567,Yes,An attempt was made to access an object.
576,Yes,Special privileges assigned to new logon.
577,Yes,A privileged service was called.
578,Yes,An operation was attempted on a privileged object.
592,Yes,A new process has been created.
593,Yes,A process has exited.
594,Yes,An attempt was made to duplicate a handle to an object.
595,Yes,Indirect access to an object was requested.
600,Yes,A primary token was assigned to process.
601,Yes,Attempt to install a service
602,Yes,A scheduled task was created.
602,Yes,A scheduled task was deleted.
602,Yes,A scheduled task was enabled.
602,Yes,A scheduled task was disabled.
602,Yes,A scheduled task was updated.
608,Yes,A user right was assigned.
609,Yes,A user right was removed.
611,Yes,A trust to a domain was removed.
621,Yes,System security access was granted to an account.
622,Yes,System security access was removed from an account.
624,Yes,A user account was created.
626,Yes,A user account was enabled.
627,Yes,An attempt was made to change an account's password.
629,Yes,A user account was disabled.
630,Yes,A user account was deleted.
632,Yes,A member was added to a security-enabled global group.
633,Yes,A member was removed from a security-enabled global group.
634,Yes,A security-enabled global group was deleted.
635,Yes,A security-enabled local group was created.
636,Yes,A member was added to a security-enabled local group.
637,Yes,A member was removed from a security-enabled local group.
638,Yes,A security-enabled local group was deleted.
642,Yes,A user account was changed.
644,Yes,A user account was locked out.
645,Yes,A computer account was changed.
646,Yes,A computer account was changed.
647,Yes,A computer account was deleted.
648,Yes,A security-disabled local group was created.
649,Yes,A security-disabled local group was changed.
650,Yes,A member was added to a security-disabled local group.
651,Yes,A member was removed from a security-disabled local group.
652,Yes,A security-disabled local group was deleted.
653,Yes,A security-disabled global group was created.
654,Yes,A security-disabled global group was changed.
655,Yes,A member was added to a security-disabled global group.
656,Yes,A member was removed from a security-disabled global group.
657,Yes,A security-disabled global group was deleted.
660,Yes,A member was added to a security-enabled universal group.
661,Yes,A member was removed from a security-enabled universal group.
662,Yes,A security-enabled universal group was deleted.
663,Yes,A security-disabled universal group was created.
664,Yes,A security-disabled universal group was changed.
665,Yes,A member was added to a security-disabled universal group.
666,Yes,A member was removed from a security-disabled universal group.
